time,cpu,mem,disk
2026-03-23 00:37:46,0,21,6
2026-03-23 00:37:49,0,21,6
2026-03-23 00:37:52,0,21,6
2026-03-23 00:37:55,1,21,6
2026-03-23 00:37:57,1,21,6
2026-03-23 00:38:00,1,21,6
2026-03-23 00:38:03,0,21,6
2026-03-23 00:38:06,0,21,6
2026-03-23 00:38:09,0,21,6
2026-03-23 00:38:12,0,21,6
2026-03-23 00:38:15,0,21,6
2026-03-23 00:38:18,0,21,6
2026-03-23 00:38:21,0,21,6
2026-03-23 00:38:23,1,21,6
2026-03-23 00:38:26,1,21,6
2026-03-23 00:38:29,2,21,6
2026-03-23 00:38:32,1,21,6
2026-03-23 00:38:35,1,21,6
2026-03-23 00:38:38,0,21,6
2026-03-23 00:38:41,2,21,6
2026-03-23 00:38:44,0,21,6
2026-03-23 00:38:46,1,21,6
2026-03-23 00:38:49,0,21,6
2026-03-23 00:38:52,1,21,6
